Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper
18,Lazio,it ITA,5,38,21,9,8,89,49,40,72,1.89,63.2,44.3,18.9,0.5,30990,Ciro Immobile - 29,Thomas Strakosha
19,Schalke 04,de GER,2,34,18,9,7,53,37,16,63,1.85,47.8,42.3,5.5,0.16,61197,Guido Burgstaller - 11,Ralf Fährmann
20,Chelsea,eng ENG,5,38,21,7,10,62,38,24,70,1.84,55.7,32.7,23,0.61,41282,Eden Hazard - 12,Thibaut Courtois
21,Milan,it ITA,6,38,18,10,10,56,42,14,64,1.68,54.4,39,15.4,0.41,52690,Patrick Cutrone - 10,Gianluigi Donnarumma
22,Arsenal,eng ENG,6,38,19,6,13,74,51,23,63,1.66,63.1,49.8,13.4,0.35,59323,Alexandre Lacazette - 14,Petr ?ech
23,Hoffenheim,de GER,3,34,15,10,9,66,48,18,55,1.62,51.8,47.5,4.4,0.13,28716,Mark Uth - 14,Oliver Baumann
24,Dortmund,de GER,4,34,15,10,9,64,47,17,55,1.62,63.6,44.6,19,0.56,79496,Pierre-Emerick Aubameyang - 13,Roman Bürki
25,Leverkusen,de GER,5,34,15,10,9,58,44,14,55,1.62,59.1,37,22.2,0.65,28415,Kevin Volland - 14,Bernd Leno
26,Villarreal,es ESP,5,38,18,7,13,57,50,7,61,1.61,52.2,55.4,-3.2,-0.09,16731,Carlos Bacca - 15,Sergio Asenjo
27,Atalanta,it ITA,7,38,16,12,10,57,39,18,60,1.58,67.3,37.1,30.2,0.79,17921,Josip Ili?i? - 11,Etrit Berisha
28,Betis,es ESP,6,38,18,6,14,60,61,-1,60,1.58,41.1,50.6,-9.5,-0.25,46711,Sergio León - 11,Antonio Adán
29,RB Leipzig,de GER,6,34,15,8,11,57,53,4,53,1.56,54.3,45.7,8.6,0.25,39397,Timo Werner - 13,Péter Gulácsi
30,Rennes,fr FRA,5,38,16,10,12,50,44,6,58,1.53,49.4,53.5,-4.1,-0.11,23111,Benjamin Bourigeaud - 10,Tomáš Koubek
31,Sevilla,es ESP,7,38,17,7,14,49,58,-9,58,1.53,56.5,55.3,1.3,0.03,33045,Wissam Ben Yedder - 9,Sergio Rico
32,Stuttgart,de GER,7,34,15,6,13,36,36,0,51,1.5,39.7,45.7,-6,-0.18,56045,Mario Gómez - 8,Ron-Robert Zieler
33,Fiorentina,it ITA,8,38,16,9,13,54,46,8,57,1.5,57.4,42.5,14.9,0.39,26092,Giovanni Simeone - 14,Marco Sportiello
34,Bordeaux,fr FRA,6,38,16,7,15,53,48,5,55,1.45,52.6,40.7,11.9,0.31,26470,Malcom - 12,Benoît Costil
35,Saint-Étienne,fr FRA,7,38,15,10,13,47,50,-3,55,1.45,52.2,51.6,0.6,0.02,28142,Jonathan Bamba Rémy Cabella... - 7,Stéphane Ruffier
36,Getafe,es ESP,8,38,15,10,13,42,33,9,55,1.45,46.4,36.8,9.6,0.25,10318,Ángel Rodríguez - 13,Vicente Guaita
37,Eint Frankfurt,de GER,8,34,14,7,13,45,45,0,49,1.44,43.4,42.1,1.2,0.04,49159,Sébastien Haller - 9,Lukáš Hrádecký
38,Burnley,eng ENG,7,38,14,12,12,36,39,-3,54,1.42,34.4,48.2,-13.7,-0.36,20688,Chris Wood - 10,Nick Pope
39,Nice,fr FRA,8,38,15,9,14,53,52,1,54,1.42,51.7,48.1,3.6,0.09,22876,Mario Balotelli - 18,Walter Benítez
40,Sampdoria,it ITA,10,38,16,6,16,56,60,-4,54,1.42,51.2,63.3,-12.1,-0.32,20156,Fabio Quagliarella - 19,Emiliano Viviano
41,Torino,it ITA,9,38,13,15,10,54,46,8,54,1.42,46.7,52.3,-5.6,-0.15,18596,Iago Falque - 12,Salvatore Sirigu
42,M'Gladbach,de GER,9,34,13,8,13,47,52,-5,47,1.38,51.4,51.7,-0.2,-0.01,50986,Thorgan Hazard - 10,Yann Sommer
43,Nantes,fr FRA,9,38,14,10,14,36,41,-5,52,1.37,43.3,41.3,2,0.05,24559,Emiliano Sala - 12,Ciprian T?t?ru?anu
44,Montpellier,fr FRA,10,38,11,18,9,36,33,3,51,1.34,42.4,41.7,0.7,0.02,13458,Giovanni Sio - 10,Benjamin Lecomte
45,Girona,es ESP,10,38,14,9,15,50,59,-9,51,1.34,49,46.8,2.1,0.06,10330,Cristhian Stuani - 21,Yassine Bounou
46,Eibar,es ESP,9,38,14,9,15,44,50,-6,51,1.34,39.9,44.4,-4.5,-0.12,5338,Kike Charles - 8,Marko Dmitrovi?
47,Everton,eng ENG,8,38,13,10,15,44,58,-14,49,1.29,39.6,50.3,-10.7,-0.28,38797,Wayne Rooney - 10,Jordan Pickford
48,Espanyol,es ESP,11,38,12,13,13,36,42,-6,49,1.29,42.9,47.6,-4.8,-0.13,17768,Gerard Moreno - 16,Pau López
49,Real Sociedad,es ESP,12,38,14,7,17,66,59,7,49,1.29,55,47.2,7.8,0.21,19736,Willian José - 15,Gerónimo Rulli
50,Celta Vigo,es ESP,13,38,13,10,15,59,60,-1,49,1.29,52,51.6,0.4,0.01,15683,Iago Aspas - 22,Rubén Blanco
51,Dijon,fr FRA,11,38,13,9,16,55,73,-18,48,1.26,42.9,69.1,-26.3,-0.69,12228,Júlio Tavares - 12,Baptiste Reynet
52,Hertha BSC,de GER,10,34,10,13,11,43,46,-3,43,1.26,39.9,46.5,-6.7,-0.2,45319,Salomon Kalou - 12,Rune Jarstein
53,Leicester City,eng ENG,9,38,12,11,15,56,60,-4,47,1.24,45.7,48.6,-2.8,-0.07,31583,Jamie Vardy - 20,Kasper Schmeichel
54,Guingamp,fr FRA,12,38,12,11,15,48,59,-11,47,1.24,45.4,53.8,-8.3,-0.22,14506,Jimmy Briand - 11,Karl-Johan Johnsson
55,Werder Bremen,de GER,11,34,10,12,12,37,40,-3,42,1.24,40,48.5,-8.5,-0.25,38726,Max Kruse - 6,Ji?í Pavlenka
56,Alavés,es ESP,14,38,15,2,21,40,50,-10,47,1.24,39,53.2,-14.2,-0.37,16819,Munir El Haddadi - 10,Fernando Pacheco
57,Augsburg,de GER,12,34,10,11,13,43,46,-3,41,1.21,45,43,2,0.06,28238,Michael Gregoritsch - 13,Marwin Hitz
58,Levante,es ESP,15,38,11,13,14,44,58,-14,46,1.21,42.4,60.6,-18.2,-0.48,17927,José Luis Morales - 10,Oier Olazábal
59,Amiens,fr FRA,13,38,12,9,17,37,42,-5,45,1.18,35.2,55.5,-20.3,-0.53,9644,Moussa Konaté - 13,Régis Gurtner
60,Newcastle Utd,eng ENG,10,38,12,8,18,39,47,-8,44,1.16,42.4,51.3,-8.9,-0.23,51992,Ayoze Pérez - 8,Rob Elliot
61,Crystal Palace,eng ENG,11,38,11,11,16,45,55,-10,44,1.16,53,47.4,5.6,0.15,25063,Luka Milivojevi? - 10,Wayne Hennessey
