Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
89,Gazélec Ajaccio,fr FRA,19,38,8,13,17,37,58,-21,37,0.97,3719,Mohamed Larbi - 8,Clément Maury
90,Stuttgart,de GER,17,34,9,6,19,50,75,-25,33,0.97,51983,Daniel Didavi - 13,Przemysław Tytoń
91,Getafe,es ESP,19,38,9,9,20,37,67,-30,36,0.95,7425,Pablo Sarabia - 7,Vicente Guaita
92,Norwich City,eng ENG,19,38,9,7,22,39,67,-28,34,0.89,26972,Dieumerci Mbokani - 7,John Ruddy
93,Levante,es ESP,20,38,8,8,22,37,70,-33,32,0.84,14698,Deyverson - 9,Diego Mariño
94,Frosinone,it ITA,19,38,8,7,23,35,76,-41,31,0.82,7288,Federico Dionisi Daniel Ciofani - 9,Nicola Leali
95,Hannover 96,de GER,18,34,7,4,23,31,62,-31,25,0.74,41246,Artur Sobiech - 7,Ron-Robert Zieler
96,Hellas Verona,it ITA,20,38,5,13,20,34,63,-29,28,0.74,18194,Luca Toni Giampaolo Pazzini - 6,Pierluigi Gollini
97,Troyes,fr FRA,20,38,3,9,26,28,83,-55,18,0.47,12472,Fabien Camus - 5,Matthieu Dreyer
98,Aston Villa,eng ENG,20,38,3,8,27,27,76,-49,17,0.45,33690,Jordan Ayew - 7,Brad Guzan
