Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
67,Hamit Altıntop\Hamit-Altintop,tr TUR,MF,Darmstadt 98,de Bundesliga,33,1982,16,15,1362,0,0,0,1,3,0,0,0,0,0,0,Matches
68,Ricky Álvarez\Ricky-Alvarez,ar ARG,MF,Sampdoria,it Serie A,28,1988,21,11,987,2,2,0,0,3,1,0.18,0.18,0.36,0.18,0.36,Matches
69,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,29,1986,26,26,2340,0,0,0,0,0,0,0,0,0,0,0,Matches
70,Sergio Álvarez\Sergio-Alvarez,es ESP,MF,Sporting Gijón,es La Liga,24,1992,36,34,3002,2,1,0,0,9,0,0.06,0.03,0.09,0.06,0.09,Matches
71,Víctor Álvarez\Victor-Alvarez,es ESP,DF,Espanyol,es La Liga,23,1993,4,2,206,0,0,0,0,2,0,0,0,0,0,0,Matches
72,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,21,1995,26,25,2273,0,0,0,0,3,0,0,0,0,0,0,Matches
73,Bruno Alves\Bruno-Alves,pt POR,DF,Cagliari,it Serie A,34,1981,36,36,3240,1,0,0,0,5,1,0.03,0,0.03,0.03,0.03,Matches
74,Dani Alves\Dani-Alves,br BRA,DFMF,Juventus,it Serie A,33,1983,19,15,1359,2,3,0,0,5,0,0.13,0.2,0.33,0.13,0.33,Matches
75,Diego Alves\Diego-Alves,br BRA,GK,Valencia,es La Liga,31,1985,33,33,2970,0,0,0,0,4,0,0,0,0,0,0,Matches
76,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Lille,fr Ligue 1,23,1993,35,34,2952,1,0,0,0,4,0,0.03,0,0.03,0.03,0.03,Matches
77,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,31,1985,6,6,401,1,0,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
78,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MFFW,Lille,fr Ligue 1,31,1985,17,8,733,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,26,1989,26,15,1418,0,0,0,0,2,0,0,0,0,0,0,Matches
80,Daniel Amartey\Daniel-Amartey,gh GHA,MF,Leicester City,eng Premier League,21,1994,24,17,1673,1,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,Matches
81,Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,eng Premier League,24,1992,17,15,1409,0,0,0,0,5,0,0,0,0,0,0,Matches
82,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,18,1998,22,20,1776,0,0,0,0,1,0,0,0,0,0,0,Matches
83,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,19,1996,33,20,1989,2,4,0,0,2,0,0.09,0.18,0.27,0.09,0.27,Matches
84,Fernando Amorebieta\Fernando-Amorebieta,ve VEN,DF,Sporting Gijón,es La Liga,31,1985,27,26,2216,0,1,0,0,17,0,0,0.04,0.04,0,0.04,Matches
85,Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Watford,eng Premier League,29,1987,29,25,2091,0,3,0,0,4,0,0,0.13,0.13,0,0.13,Matches
86,Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,es La Liga,26,1989,13,13,1108,0,0,0,0,2,0,0,0,0,0,0,Matches
87,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,Lazio,it Serie A,23,1993,36,33,2908,4,8,1,1,5,0,0.12,0.25,0.37,0.09,0.34,Matches
88,Florin Andone\Florin-Andone,ro ROU,FW,La Coruña,es La Liga,23,1993,37,32,2908,12,2,0,0,6,0,0.37,0.06,0.43,0.37,0.43,Matches
89,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,25,1990,36,36,3215,0,3,0,0,6,0,0,0.08,0.08,0,0.08,Matches
90,Marco Andreolli\Marco-Andreolli,it ITA,DF,Inter,it Serie A,30,1986,6,4,362,1,0,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
91,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,27,1989,16,16,1367,0,0,0,0,3,0,0,0,0,0,0,Matches
92,Victorien Angban\Victorien-Angban,ci CIV,MF,Granada,es La Liga,19,1996,10,8,678,0,0,0,0,4,0,0,0,0,0,0,Matches
93,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,26,1990,31,25,2164,5,1,1,1,3,0,0.21,0.04,0.25,0.17,0.21,Matches
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Atlético Madrid,es La Liga,32,1984,9,8,771,0,0,0,0,0,0,0,0,0,0,0,Matches
95,José Ángel\Jose-Angel,es ESP,DF,Villarreal,es La Liga,26,1989,7,7,630,0,0,0,0,2,0,0,0,0,0,0,Matches
96,Gabriele Angella\Gabriele-Angella,it ITA,DFMF,Udinese,it Serie A,27,1989,14,10,1017,1,0,0,0,3,0,0.09,0,0.09,0.09,0.09,Matches
97,Benjamin Angoua\Benjamin-Angoua,ci CIV,DF,Guingamp,fr Ligue 1,29,1986,7,6,538,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Victor Anichebe\Victor-Anichebe,ng NGA,FWMF,Sunderland,eng Premier League,28,1988,18,14,1219,3,0,0,0,2,0,0.22,0,0.22,0.22,0.22,Matches
99,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Inter,it Serie A,29,1986,21,17,1500,0,1,0,0,9,2,0,0.06,0.06,0,0.06,Matches
100,Luca Antei\Luca-Antei,it ITA,DF,Sassuolo,it Serie A,24,1992,15,11,1114,1,0,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
101,Luca Antonelli\Luca-Antonelli,it ITA,DF,Milan,it Serie A,29,1987,7,3,309,0,1,0,0,1,0,0,0.29,0.29,0,0.29,Matches
102,José Antonio Reyes\Jose-Antonio-Reyes,es ESP,MFFW,Espanyol,es La Liga,32,1983,21,10,867,3,4,1,1,1,0,0.31,0.42,0.73,0.21,0.62,Matches
103,Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,eng Premier League,26,1990,29,29,2434,9,3,0,0,5,2,0.33,0.11,0.44,0.33,0.44,Matches
104,Ikechi Anya\Ikechi-Anya,sco SCO,FWMF,Watford,eng Premier League,28,1988,1,0,10,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Siniša Anđelković\Sinisa-Andjelkovic,si SVN,DF,Palermo,it Serie A,30,1986,22,21,1836,0,1,0,0,3,0,0,0.05,0.05,0,0.05,Matches
106,Dennis Aogo\Dennis-Aogo,de GER,MFDF,Schalke 04,de Bundesliga,29,1987,7,3,290,0,0,0,0,1,0,0,0,0,0,0,Matches
107,Houssem Aouar\Houssem-Aouar,fr FRA,FW,Lyon,fr Ligue 1,18,1998,3,1,127,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Carlos Apna Embaló\Carlos-Apna-Embalo,gw GNB,FWMF,Palermo,it Serie A,21,1994,12,8,621,0,1,0,0,0,0,0,0.14,0.14,0,0.14,Matches
109,Alberto Aquilani\Alberto-Aquilani,it ITA,MFFW,Pescara,it Serie A,32,1984,9,6,551,1,1,0,0,2,2,0.16,0.16,0.33,0.16,0.33,Matches
110,Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Sassuolo,it Serie A,32,1984,16,14,1237,0,1,0,0,3,0,0,0.07,0.07,0,0.07,Matches
111,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Bordeaux,fr Ligue 1,20,1995,4,0,40,0,0,0,0,0,0,0,0,0,0,0,Matches
