Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,2,180,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.1,0,0.03,0.03,0,0.03,Matches
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,16,5,525,0,1,0,0,0,0,0,0.17,0.17,0,0.17,0.9,0.9,0.3,0.16,0.05,0.2,0.16,0.2,Matches
39,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,4,4,313,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,8,5,499,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,31,29,2530,3,3,0,0,4,0,0.11,0.11,0.21,0.11,0.21,2.2,2.2,4.9,0.08,0.18,0.25,0.08,0.25,Matches
42,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,25,23,1895,1,0,0,0,4,0,0.05,0,0.05,0.05,0.05,0.6,0.6,1.8,0.03,0.09,0.11,0.03,0.11,Matches
43,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,27,11,1265,9,3,0,0,1,0,0.64,0.21,0.85,0.64,0.85,7.8,7.8,1.9,0.55,0.14,0.69,0.55,0.69,Matches
44,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,36,32,2991,2,8,0,0,6,0,0.06,0.24,0.3,0.06,0.3,1.8,1.8,5.1,0.05,0.15,0.21,0.05,0.21,Matches
45,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,27,25,1990,4,5,1,1,5,1,0.18,0.23,0.41,0.14,0.36,4.6,3.8,6.1,0.21,0.28,0.48,0.17,0.45,Matches
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,20,19,1713,1,0,0,0,4,0,0.05,0,0.05,0.05,0.05,0.2,0.2,1,0.01,0.05,0.06,0.01,0.06,Matches
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,22,19,1660,1,3,0,0,3,1,0.05,0.16,0.22,0.05,0.22,0.3,0.3,1.4,0.02,0.08,0.09,0.02,0.09,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,27,18,1625,2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,1.1,1.1,3.1,0.06,0.17,0.23,0.06,0.23,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,26,11,1211,18,0,1,1,0,0,1.34,0,1.34,1.26,1.26,9.1,8.3,2.5,0.68,0.18,0.86,0.62,0.8,Matches
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,25,20,1868,1,1,0,0,9,0,0.05,0.05,0.1,0.05,0.1,0.9,0.9,0.3,0.04,0.02,0.06,0.04,0.06,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,30,26,2408,2,6,0,0,5,0,0.07,0.22,0.3,0.07,0.3,2.2,2.2,2.8,0.08,0.11,0.19,0.08,0.19,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,34,34,2976,3,2,0,1,13,0,0.09,0.06,0.15,0.09,0.15,3.3,2.6,1.3,0.1,0.04,0.14,0.08,0.12,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,34,33,2922,0,0,0,0,3,0,0,0,0,0,0,1.1,1.1,0.6,0.03,0.02,0.05,0.03,0.05,Matches
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,9,0,140,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.15,0.17,0.32,0.15,0.32,Matches
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
